Source_Code,Source_Material
ARG-N41414 B1 O1,NULL
ARG-N87 SPN,NULL
ARG-ND SP 26,Ore
ARG-ND SP18,NULL
ARG-ND SP20,NULL
ARG-ND SP21,NULL
ARG-ND SP22,NULL
ARG-ND SP23,NULL
ARG-ND-SP23,NULL
ARG-NDSP25,NULL
Argo_RoadWork_Waste,Road Base
Argo-Loc01,NULL
Argo-Loc02,NULL
Argo-SP,NULL
ARG-PASTE PLANT,NULL
ARG-PIT WD,Waste
ARG-S1A Access,NULL
ARG-SD SP2,NULL
ARG-SD602,NULL
ARGTEST123,High Grade
ARG-UB2 N13 SP,Ore
ARS1,NULL
ASH2,NULL
ASH3,NULL
ASL1,NULL
ASL2,NULL
ASP2,NULL
ASP3,NULL
ASP5,NULL
AST_MBF_WM_1,Waste Mixture
AST_MOP_HF_2,High Grade Fresh
AST_MOP_HF_3,High Grade Fresh
AST_MOP_LM_2,Low Grade Mixture 
AST_MOP_LM_6,Low Grade Mixture 
AST_MOP_PM_3,Poor Grade Mixture
AST_MOP_PM_5,Poor Grade Mixture
AST_MOP_PO_2,Poor Grade Oxide
ATH DEC,NULL
ATH______JUP_SPA,Ore
ATH__8903__JUP_ACC,NULL
ATH__8903__JUP_DEC,NULL
ATH__8903__JUP_FAA,NULL
ATH__8903__JUP_ODN,NULL
ATH__8903__JUP_ODS,NULL
ATH__8903__JUP_PFC,NULL
ATH__8903__JUP_SMP,NULL
ATH__8903__JUP_SPA,NULL
ATH__8903__JUP_SUB,NULL
ATH__8908__EUR_ACC,NULL
ATH__8923__EUR_ACC,NULL
ATH__8923__EUR_PFC,NULL
ATH__8923__EUR_SMP,NULL
ATH__8923__EUR_SPA,NULL
ATH__8928__JUP_038,NULL
ATH__8928__JUP_040,NULL
ATH__8928__JUP_042,NULL
ATH__8928__JUP_044,NULL
ATH__8928__JUP_047,NULL
ATH__8928__JUP_050,NULL
ATH__8928__JUP_056,NULL
ATH__8928__JUP_058,NULL
ATH__8928__JUP_061,NULL
ATH__8928__JUP_ACC,NULL
ATH__8928__JUP_DEC,NULL
ATH__8928__JUP_HWD,NULL
ATH__8928__JUP_ODN,NULL
ATH__8928__JUP_ODS,NULL
ATH__8928__JUP_SMP,NULL
ATH__8928__JUP_SPA,NULL
ATH__8928__JUP_SPD,NULL
ATH__8928__JUP_SPN,NULL
ATH__8953__JUP_ SPA,NULL
ATH__8953__JUP_039,NULL
ATH__8953__JUP_045,NULL
ATH__8953__JUP_048,NULL
ATH__8953__JUP_051,NULL
ATH__8953__JUP_056,NULL
ATH__8953__JUP_059,NULL
ATH__8953__JUP_062,NULL
ATH__8953__JUP_064,NULL
ATH__8953__JUP_070,NULL
ATH__8953__JUP_ACC,NULL
ATH__8953__JUP_DEC,NULL
ATH__8953__JUP_FAA,NULL
ATH__8953__JUP_ODN,NULL
ATH__8953__JUP_ODS,NULL
ATH__8953__JUP_PMP,NULL
ATH__8953__JUP_RAA,NULL
ATH__8953__JUP_SPN,NULL
ATH__8953__JUP_SPS,NULL
ATH__8973__JUP_038,NULL
ATH__8973__JUP_047,NULL
ATH__8973__JUP_049,NULL
ATH__8973__JUP_052,NULL
ATH__8973__JUP_057,NULL
ATH__8973__JUP_060,NULL
ATH__8973__JUP_062,NULL
ATH__8973__JUP_064,NULL
ATH__8973__JUP_066,NULL
ATH__8973__JUP_071,NULL
ATH__8973__JUP_SPA,NULL
ATH__8973__JUP_SPD,NULL
ATH__8973__JUP_SPS,NULL
ATH__8993__JUP_047,NULL
ATH__8993__JUP_055,NULL
ATH__8993__JUP_060,NULL
ATH__8993__JUP_063,NULL
ATH__8993__JUP_066,NULL
ATH__8993__JUP_ACC,NULL
ATH__8993__JUP_DEC,NULL
ATH__8993__JUP_SMP,NULL
ATH__8993__JUP_SPA,NULL
ATH__8993__JUP_SPN,NULL
ATH__8993__JUP_SPS,NULL
ATH__9018__JUP_060,NULL
ATH__9018__JUP_066,NULL
ATH__9018__JUP_ACC,NULL
ATH__9018__JUP_DEC,NULL
ATH__9018__JUP_SMP,NULL
ATH__9018__JUP_SPA,NULL
ATH__9027__JUP_DD1,NULL
ATH__9027__JUP_DD2,NULL
ATH__9027__JUP_DD3,NULL
ATH__9027__JUP_DD4,NULL
ATH__9027__JUP_DD5,NULL
ATH__9027__JUP_DD6,NULL
ATH__9027__JUP_EXD,NULL
ATH__9027__JUP_MAG,NULL
ATH__9027__JUP_SPA,NULL
ATH__9043__JUP_ACC,NULL
ATH__9043__JUP_RAA,NULL
ATH__9068__JUP_ACC,NULL
ATH__9093__JUP_ACC,NULL
ATH__9118__JUP_ACC,NULL
ATH__9120__CAL_029,NULL
ATH__9120__CAL_032,NULL
ATH__9120__CAL_042,NULL
ATH__9120__CAL_044,NULL
ATH__9120__CAL_ACC,NULL
ATH__9120__CAL_DDC,NULL
ATH__9120__CAL_ODN,NULL
ATH__9120__CAL_ODS,NULL
ATH__9120__CAL_SPA,NULL
ATH__9142__CAL_027,NULL
ATH__9142__CAL_030,NULL
ATH__9142__CAL_033,NULL
ATH__9142__CAL_036,NULL
ATH__9142__CAL_041,NULL
ATH__9142__CAL_ODS,NULL
ATH__9142__CAL_OPA,NULL
ATH__9142__CAL_SPS,NULL
ATH__9143__JUP_ACC,NULL
ATH__9164__CAL_035,NULL
ATH__9164__CAL_041,NULL
ATH__9164__CAL_INC,NULL
ATH__9164__CAL_OPA,NULL
ATH__9164__CAL_SPS,NULL
ATH__9198__JUP_EXD,NULL
ATH_8753__JUP__ACC,Waste
ATH_8753__JUP__ACO,Waste
ATH_8753__JUP__C01,Waste
ATH_8753__JUP__C02,Waste
ATH_8753__JUP__C03,Waste
ATH_8753__JUP__C04,Waste
ATH_8753__JUP__C05,Waste
ATH_8753__JUP__C06,Waste
ATH_8753__JUP__C07,Waste
ATH_8753__JUP__C08,Waste
ATH_8753__JUP__DEC,Waste
ATH_8753__JUP__ODN,Ore
ATH_8753__JUP__PFC,Waste
ATH_8753__JUP__RAA,Waste
ATH_8753__JUP__RAD,Waste
ATH_8753__JUP__RAU,Waste
ATH_8753__JUP__SM1,Waste
ATH_8753__JUP__SM2,Waste
ATH_8753__JUP__SMP,Waste
ATH_8753__JUP__SPA,Ore
ATH_8753__JUP__SPD,Waste
ATH_8753__JUP__SPN,Ore
ATH_8778__JUP__ACC,Waste
ATH_8778__JUP__ACO,Waste
ATH_8778__JUP__C01,Waste
ATH_8778__JUP__C02,Waste
ATH_8778__JUP__C03,Waste
ATH_8778__JUP__C04,Waste
ATH_8778__JUP__C05,Waste
ATH_8778__JUP__C06,Waste
ATH_8778__JUP__C07,Waste
ATH_8778__JUP__DEC,Waste
ATH_8778__JUP__EWA,Waste
ATH_8778__JUP__EWD,Waste
ATH_8778__JUP__FAA,Waste
ATH_8778__JUP__FWD,Waste
ATH_8778__JUP__ODN,Ore
ATH_8778__JUP__ODS,Ore
ATH_8778__JUP__PFC,Waste
ATH_8778__JUP__SMP,Waste
ATH_8778__JUP__SPA,Ore
ATH_8778__JUP__SPD,Waste
ATH_8778__JUP__SPN,Ore
ATH_8778__JUP__SPS,Ore
ATH_8803__JUP__ACC,Waste
ATH_8803__JUP__ACO,Waste
ATH_8803__JUP__C01,Waste
ATH_8803__JUP__DBC,Waste
ATH_8803__JUP__DEC,Waste
ATH_8803__JUP__EWA,Waste
ATH_8803__JUP__FAA,Waste
ATH_8803__JUP__FWD,Waste
ATH_8803__JUP__ODN,Ore
ATH_8803__JUP__ODS,Ore
ATH_8803__JUP__PFS,Waste
ATH_8803__JUP__RAA,Waste
ATH_8803__JUP__RAD,Waste
ATH_8803__JUP__RAU,Waste
ATH_8803__JUP__SM1,Waste
ATH_8803__JUP__SM2,Waste
ATH_8803__JUP__SM3,Waste
ATH_8803__JUP__SPA,Ore
ATH_8803__JUP__SPD,Waste
ATH_8803__JUP__SPN,Ore
ATH_8803__JUP__STR,Waste Fresh
ATH_8803__JUP__SUB,Waste
ATH_8828__JUP__56S,Ore
